iter	Passed	Remaining
763	1942	599
764	1943	597
765	1946	594
766	1948	591
767	1950	589
768	1952	586
769	1954	583
770	1955	580
771	1958	578
772	1960	575
773	1962	573
774	1963	570
775	1965	567
776	1966	564
777	1968	561
778	1970	558
779	1973	556
780	1974	553
781	1976	550
782	1977	548
783	1979	545
784	1981	542
785	1982	539
786	1984	537
787	1987	534
788	1989	531
789	1990	529
790	1992	526
791	1993	523
792	1995	520
793	1996	518
794	1998	515
795	2000	512
796	2002	510
797	2004	507
798	2005	504
799	2007	501
800	2008	499
801	2010	496
802	2011	493
803	2013	490
804	2015	488
805	2017	485
806	2019	482
807	2021	480
808	2022	477
809	2024	474
810	2025	472
811	2027	469
812	2030	466
813	2032	464
814	2033	461
815	2035	458
816	2036	456
817	2038	453
818	2039	450
819	2041	448
820	2043	445
821	2045	442
822	2047	440
823	2048	437
824	2050	434
825	2051	432
826	2053	429
827	2054	426
828	2056	424
829	2058	421
830	2059	418
831	2062	416
832	2063	413
833	2065	411
834	2067	408
835	2069	405
836	2071	403
837	2073	400
838	2076	398
839	2078	395
840	2080	393
841	2082	390
842	2084	388
843	2086	385
844	2088	383
845	2090	380
846	2092	377
847	2094	375
848	2096	372
849	2097	370
850	2099	367
851	2101	365
852	2103	362
853	2105	359
854	2107	357
855	2109	354
856	2110	352
857	2111	349
858	2113	346
859	2114	344
860	2116	341
861	2118	339
862	2120	336
863	2122	334
864	2123	331
865	2125	328
866	2127	326
867	2129	323
868	2131	321
869	2133	318
870	2135	316
871	2137	313
872	2139	311
873	2141	308
874	2142	306
875	2144	303
876	2146	301
877	2149	298
878	2151	296
879	2153	293
880	2155	291
881	2156	288
882	2158	286
883	2160	283
884	2162	281
885	2165	278
886	2167	276
887	2168	273
888	2171	271
889	2172	268
890	2174	266
891	2176	263
892	2178	261
893	2180	258
894	2182	256
895	2184	253
896	2186	251
897	2188	248
898	2190	246
899	2192	243
900	2194	241
901	2197	238
902	2199	236
903	2201	233
904	2203	231
905	2204	228
906	2206	226
907	2209	223
908	2211	221
909	2213	218
910	2215	216
911	2217	213
912	2219	211
913	2221	209
914	2223	206
915	2226	204
916	2228	201
917	2229	199
918	2231	196
919	2233	194
920	2235	191
921	2237	189
922	2240	186
923	2243	184
924	2244	182
925	2246	179
926	2248	177
927	2250	174
928	2252	172
929	2255	169
930	2256	167
931	2259	164
932	2260	162
933	2262	159
934	2264	157
935	2266	154
936	2268	152
937	2270	150
938	2272	147
939	2274	145
940	2276	142
941	2278	140
942	2280	137
943	2282	135
944	2285	133
945	2287	130
946	2289	128
947	2291	125
948	2293	123
949	2295	120
950	2297	118
951	2299	115
952	2301	113
953	2303	111
954	2304	108
955	2306	106
956	2308	103
957	2309	101
958	2311	98
959	2313	96
960	2315	93
961	2316	91
962	2318	89
963	2319	86
964	2320	84
965	2322	81
966	2323	79
967	2326	76
968	2328	74
969	2329	72
970	2331	69
971	2332	67
972	2334	64
973	2335	62
974	2337	59
975	2339	57
976	2341	55
977	2343	52
978	2344	50
979	2345	47
980	2347	45
981	2348	43
982	2350	40
983	2351	38
984	2353	35
985	2356	33
986	2358	31
987	2360	28
988	2361	26
989	2363	23
990	2364	21
991	2367	19
992	2368	16
993	2370	14
994	2371	11
995	2373	9
996	2375	7
997	2376	4
998	2378	2
999	2379	0
